ILMN_1757379	ILMN_1706935	ILMN_1715748	ILMN_1678308	ILMN_1670576	ILMN_1730679	ILMN_1684114	ILMN_1688124	ILMN_1749403	ILMN_1782098
NA18486	6.9335559107604	7.37210653683378	7.16799197961905	10.9161459395034	9.01591387404584	10.4089767655565	12.154411247838	6.53881487066256	12.9479265406479	7.2115225109465
NA18487	6.84326450832258	7.11248938475868	6.86493908101876	10.8650692469647	8.88556712321643	10.225904008198	12.3565484207007	6.55862831225304	12.7688142071192	7.15015467154254
NA18488	7.03821864492086	7.33565632473639	6.98857550954155	11.5351372965625	8.84819458751341	10.4559916804667	12.7188683149603	6.64796241876246	13.044252575199	6.98927469938721
NA18489	7.0207144422541	7.24782776445112	6.92365657353971	10.7351690794373	7.3474940907396	10.0326889734521	11.6638077612687	6.5889338728457	12.5356390699837	7.15601553872414
NA18498	6.97194342462549	7.26359631463189	6.90548184448273	10.9755860099609	9.25417892813626	10.3211893145971	12.2697021960337	6.5650870284013	12.3596665729036	6.94797241975076
NA18499	6.95781034165593	7.33298746868419	7.29430903024213	11.4982596497262	9.77180941340563	10.512853832505	13.012337437853	6.37440403745452	13.2299239053701	7.40625044265674
NA18501	6.79311079746011	7.39073765328731	7.3911844163373	10.9651646161214	7.70073914021155	10.729815421977	12.3577994624079	6.66011183466316	13.624241309467	7.56595875164643
NA18504	7.09651569258256	7.2735730133283	7.19759495676798	11.0093411053659	7.86351626245368	10.3147745927375	12.4191101286776	6.57467367895626	12.748891635534	7.29011174954823
NA18505	6.99168614297902	7.27313631798658	7.0307643944369	10.7701855788052	8.94561170842686	9.83019632982922	11.9802279423686	6.64985019682386	13.126249194386	7.47707485048497
NA18507	6.99185685466763	7.51211129291706	6.85010206912012	11.0527823721552	10.3850655216925	10.5813858802273	12.5682132870782	6.5315428699496	13.2522641755259	7.13741346723898
NA18508	6.89881286017689	7.28908616039356	7.62076644318208	11.0808467063393	9.55416464006465	10.4029832644494	12.7304765396377	6.43769134109397	14.0121008435891	7.66478069893611
NA18516	7.06035573776759	7.40494219676146	7.167464499731	10.5069887632342	8.80533043996519	9.72050779342072	12.430847915927	6.61688827050056	12.6037703773064	7.10436425374799
NA18517	6.85699048332636	7.21423420666728	7.28819136379281	10.8951165667076	9.21863672734459	9.64628692021734	11.966598946507	6.59532794356958	13.2937997496333	7.17980158841397
NA18519	6.8416281438072	7.65138170463261	6.94683786073021	11.070699350479	7.31289229278685	10.5237078223875	12.0150351424013	6.65653861746537	12.8267706423619	7.77983787187494
NA18520	6.92224175289256	7.40459879432194	7.01521217687222	11.8237917203509	7.53000167490282	10.7590439885585	13.0354051333182	6.61624129471179	13.5449320317288	7.06458492527324
NA18852	6.99278329277792	7.62672389678325	7.23291087247215	11.48305785972	7.36376612090827	10.5667362509672	13.3950881723113	6.5269829419766	13.6956151716533	7.45467244219873
NA18853	6.98672587708268	7.49425989435185	7.70184186095361	11.6571733527316	9.81136785152045	10.975931740779	13.3400015118237	6.50684488769385	14.1982123890864	7.7428048967655
NA18855	6.91546016553329	7.35946551446596	7.03194135949982	11.0599147533711	9.37414843131501	10.3155099475283	12.6591692472906	6.63493049831835	13.3767609561807	7.43424944400164
NA18858	6.9447011071293	7.78270003819276	7.23498127418363	11.279703709241	10.1980515775172	10.9280344114098	13.0758592088273	6.61118327490732	13.2223615027937	7.88334869117729
NA18859	6.83990704630595	7.62178707133334	7.41441174916242	11.5754042881041	9.56683402448652	10.9492076348676	13.2798026457039	6.74332339954605	13.8844334676912	7.68113708724759
NA18861	6.97217613440834	7.32790552737442	7.34119440469179	10.9183971873847	9.90515703305577	10.3256768360223	12.6654571147749	6.7492530771105	13.2959185647332	7.32090867384114
NA18862	6.92144453838321	7.53458124139623	7.11638795742871	11.7279094300697	10.1627860749783	10.6680029221494	13.0421461476456	6.68194177577432	14.1025856387727	7.46207821188222
NA18867	7.0893087414983	7.31461581910181	6.90182476728758	10.5771177085654	7.17037632048887	9.83283672081357	10.926914718852	6.84921022226235	11.7981842161672	6.9620940328621
NA18868	7.10251220955801	7.39198870295386	6.86531748204273	11.6037682199644	10.0114057457321	11.2045682767856	12.8405314369293	6.79144030604866	12.8597704711979	7.25827892348338
NA18870	7.03076972789698	7.30181343616637	8.26729263716468	11.5189267648913	7.37204217111617	10.4789041313777	13.5487377911077	6.67782168545001	14.3184686017951	7.38285256741056
NA18871	6.7685118654257	7.5141061122404	7.00617045509387	11.419825221701	10.5462694783063	10.8820912791335	13.0303408404669	6.4580503290699	13.353476626888	7.78082407516625
NA18874	7.04345278625264	7.24837342579665	6.81188302308253	11.1697468506799	7.14362842843069	10.7065460893645	12.4834589292172	6.46247096980434	12.9578907585899	7.43412118090402
NA18909	7.01873469794736	7.26554799129592	6.9893672233667	11.1145987734054	9.40780701219652	10.1092558848828	12.4534006622971	6.41283357169876	12.4816813479659	7.18524886157394
NA18910	7.04150377852773	7.23218896538545	6.89986841946285	11.5723928585218	9.78286265756548	10.8488830247976	13.2043770656286	6.56592877062714	12.7504178976563	7.34162242720797
NA18912	6.99484185523715	7.49620325197948	7.09308210501244	11.0636271389213	9.14239237282607	10.2936179899363	12.004803600314	6.61949503973348	13.2069465927287	7.19772110796927
